"id","question","options_json","english_level","correct_index"
"6122","They __ a new school here.","[""sang"", ""drank"", ""walked"", ""established""]","1","3"
"6123","The company was __ in 1990.","[""established"", ""happy"", ""red"", ""slow""]","1","0"
"6125","We __ a club for students.","[""established"", ""listened"", ""wrote"", ""watched""]","1","0"
"6154","She has big __ for her future.","[""roads"", ""plans"", ""hands"", ""pens""]","1","1"
"6181","The machine can __ power for the house.","[""generate"", ""walk"", ""sing"", ""eat""]","1","0"
"6302","My new phone __ a loud sound.","[""drank"", ""flew"", ""read"", ""generated""]","1","3"
"6363","He is __ a small business.","[""jumping"", ""running"", ""establishing"", ""drinking""]","1","2"
"6392","Best __ for your exam!","[""songs"", ""colours"", ""foods"", ""wishes""]","1","3"
"6425","She is __ her big wedding.","[""planning"", ""calling"", ""driving"", ""looking""]","1","0"
"6603","He __ me a happy birthday.","[""takes"", ""gives"", ""wishes"", ""sees""]","1","2"
"6633","She __ a fun trip to Goa.","[""played"", ""planned"", ""drew"", ""drank""]","1","1"
"6662","My phone __ a new QR code.","[""saw"", ""ate"", ""generated"", ""ran""]","1","2"
"6722","My new balloon is __ like a car.","[""popped"", ""flying"", ""shaped"", ""red""]","1","2"
"6783","I cannot find the fan __.","[""switch"", ""sky"", ""water"", ""road""]","1","0"
"6784","__ off the TV before you go.","[""Write"", ""Switch"", ""Read"", ""Sing""]","1","1"
"6844","This leaf is __ like a hand.","[""small"", ""shaped"", ""green"", ""fallen""]","1","1"
"6845","A ball is __ like a circle.","[""shaped"", ""bounced"", ""thrown"", ""played""]","1","0"
"6931","We __ a small party for her.","[""planned"", ""ate"", ""ran"", ""saw""]","1","0"
"7023","She __ off the fan before leaving.","[""switched"", ""wrote"", ""sang"", ""played""]","1","0"
"7231","He __ the light on.","[""walked"", ""switched"", ""drank"", ""ate""]","1","1"
"7261","He has the __ to lift that box.","[""capability"", ""story"", ""colour"", ""food""]","1","0"
"7324","The fishing boats __ at the harbour.","[""land"", ""drive"", ""jump"", ""fly""]","1","0"
"7412","I am __ TV channels now.","[""switching"", ""singing"", ""walking"", ""cooking""]","1","0"
"7501","This robot has amazing __.","[""clothes"", ""feelings"", ""friends"", ""capabilities""]","1","3"
"7565","We watched as the plane __ safely.","[""sang"", ""wrote"", ""cooked"", ""landed""]","1","3"
"7594","Look! The fish __ in the water.","[""walk"", ""climb"", ""dive"", ""fly""]","1","2"
"7623","They __ the project successfully.","[""jumped"", ""executed"", ""played"", ""shouted""]","1","1"
"7801","The plane __ safely at the airport.","[""ate"", ""ran"", ""landed"", ""jumped""]","1","2"
"7802","Our flight __ in Mumbai this morning.","[""slept"", ""spoke"", ""walked"", ""landed""]","1","3"
